Rozpočet	Položka	Náklady
Centrála	Provozní výdaje administrativního odboru	34000.0
Centrála	Provozní výdaje finančního odboru	10000.0
Centrála	Provozní výdaje mediálního odboru	223000.0
Centrála	Provozní výdaje personálního odboru	430043.0
Centrála	Provozní výdaje předsednictva	30000.0
Centrála	Provozní výdaje republikového výboru	8000.0
Centrála	Provozní výdaje technického odboru	57000.0
Centrála	Provozní výdaje zahraničního odboru	11080.0
Centrála	Výdaje na právní záležitosti	0.0
Centrála	Výdaje transformace	59400.0
Centrála	Činnost poslaneckého klubu	87000.0
Jihočeský kraj	Mzdové náklady vedoucí MO	6825.0
Kraj Vysočina	Personální výdaje	20000.0
Praha	Koordinace dobrovolníků	30000.0
Praha	Odměny zastupitelů hl. m. Prahy za Piráty	10318.0
Praha	Podpora senátora L. Michálka	11580.0
Praha	Provozní výdaje zahraničního odboru	0.0
Praha	Stínoví zastupitelé	10050.0
Praha	Volební výdaje na volby do ZHMP	29000.0
