,Projekt,Uživatel,Aktivita,Úkol,Hodiny,Refundace,Datum
7,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Dlouhodobý úkol #680: Vzdělávání se v oblastech úzce souvisejích s prací zastupitele,1.4,,2016-11-30
8,zastupitelstvo hl. m. Prahy,Adam Zábranský,Příprava dokumentu,Naše žádost #1243: Nakládání městských částí se svěřeným majetkem,0.25,,2016-11-30
45,zastupitelstvo hl. m. Prahy,Adam Zábranský,Sociální sítě,Dlouhodobý úkol #1996: Přenášení zkušeností do strany,0.25,,2016-11-29
46,zastupitelstvo hl. m. Prahy,Adam Zábranský,Příprava dokumentu,Naše žádost #2880: Žádost o informace - mediální a právní služby České exportní banky,1.1,,2016-11-29
47,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Dlouhodobý úkol #184: Rada hl. m. Prahy (RHMP),1.25,,2016-11-29
80,zastupitelstvo hl. m. Prahy,Adam Zábranský,Příprava dokumentu,Naše žádost #2880: Žádost o informace - mediální a právní služby České exportní banky,1.1,,2016-11-28
81,zastupitelstvo hl. m. Prahy,Adam Zábranský,Schůzky,Dlouhodobý úkol #1996: Přenášení zkušeností do strany,0.75,,2016-11-28
82,zastupitelstvo hl. m. Prahy,Adam Zábranský,Schůzky,Programový cíl #105: Podněty občanů,0.75,,2016-11-28
83,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Naše žádost #4480: Žatecká 5,2.15,,2016-11-28
84,zastupitelstvo hl. m. Prahy,Adam Zábranský,Schůzky,Naše žádost #4480: Žatecká 5,1.0,,2016-11-28
105,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Dlouhodobý úkol #184: Rada hl. m. Prahy (RHMP),0.5,,2016-11-27
122,zastupitelstvo hl. m. Prahy,Adam Zábranský,Jednání,Úkol #4406: Zasedání zastupitelstva dne 24. 11. 2016,1.0,,2016-11-25
123,zastupitelstvo hl. m. Prahy,Adam Zábranský,Jednání,Úkol #4406: Zasedání zastupitelstva dne 24. 11. 2016,5.25,a) účast na zasedání Zastupitelstva,2016-11-25
141,zastupitelstvo hl. m. Prahy,Adam Zábranský,Jednání,Úkol #4406: Zasedání zastupitelstva dne 24. 11. 2016,0.5,,2016-11-24
142,zastupitelstvo hl. m. Prahy,Adam Zábranský,Jednání,Úkol #4406: Zasedání zastupitelstva dne 24. 11. 2016,10.0,a) účast na zasedání Zastupitelstva,2016-11-24
143,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Úkol #4406: Zasedání zastupitelstva dne 24. 11. 2016,1.0,,2016-11-24
167,zastupitelstvo hl. m. Prahy,Adam Zábranský,Jednání,"Dlouhodobý úkol #716: Výbor pro legislativu, veřejnou správu, protikorupční opatření a informatiku",1.1,c) účast na jednání výborů Zastupitelstva,2016-11-23
168,zastupitelstvo hl. m. Prahy,Adam Zábranský,Příprava dokumentu,"Dlouhodobý úkol #716: Výbor pro legislativu, veřejnou správu, protikorupční opatření a informatiku",0.45,,2016-11-23
169,zastupitelstvo hl. m. Prahy,Adam Zábranský,Mediální výstupy,Programový cíl #103: Změna obsazování dozorčích rad,1.0,,2016-11-23
170,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Programový cíl #103: Změna obsazování dozorčích rad,0.75,,2016-11-23
171,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Úkol #4406: Zasedání zastupitelstva dne 24. 11. 2016,1.25,,2016-11-23
198,zastupitelstvo hl. m. Prahy,Adam Zábranský,Příprava dokumentu,Dlouhodobý úkol #2010: Řízení dceřiných firem,0.25,,2016-11-22
199,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Dlouhodobý úkol #429: Zasedání zastupitelstva,1.75,,2016-11-22
200,zastupitelstvo hl. m. Prahy,Adam Zábranský,Administrativa,Dlouhodobý úkol #914: Vykazování úkolů,0.5,,2016-11-22
245,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Úkol #4406: Zasedání zastupitelstva dne 24. 11. 2016,3.0,,2016-11-21
246,zastupitelstvo hl. m. Prahy,Adam Zábranský,Mediální výstupy,"Dlouhodobý úkol #4382: Ginis, Gordic, Jes",0.25,,2016-11-21
247,zastupitelstvo hl. m. Prahy,Adam Zábranský,Jednání,Dlouhodobý úkol #182: Jednání klubu,2.75,,2016-11-21
248,zastupitelstvo hl. m. Prahy,Adam Zábranský,Příprava dokumentu,Úkol #4377: Prošetření sportovních grantů,1.0,,2016-11-21
274,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,"Dlouhodobý úkol #716: Výbor pro legislativu, veřejnou správu, protikorupční opatření a informatiku",1.2,,2016-11-19
280,zastupitelstvo hl. m. Prahy,Adam Zábranský,Jednání,Úkol #4407: Rozpočet hl. m. Prahy 2017,8.0,,2016-11-18
292,zastupitelstvo hl. m. Prahy,Adam Zábranský,Příprava dokumentu,Úkol #4350: Příručka pro zastupitele (krajské a obecní),2.5,,2016-11-17
293,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Dlouhodobý úkol #184: Rada hl. m. Prahy (RHMP),0.5,,2016-11-17
308,zastupitelstvo hl. m. Prahy,Adam Zábranský,Administrativa,Úkol #4350: Příručka pro zastupitele (krajské a obecní),1.0,,2016-11-16
309,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Programový cíl #105: Podněty občanů,0.5,,2016-11-16
339,zastupitelstvo hl. m. Prahy,Adam Zábranský,Mediální výstupy,"Dlouhodobý úkol #4382: Ginis, Gordic, Jes",0.5,,2016-11-15
362,zastupitelstvo hl. m. Prahy,Adam Zábranský,Příprava dokumentu,Úkol #4350: Příručka pro zastupitele (krajské a obecní),0.5,,2016-11-14
363,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Naše žádost #2880: Žádost o informace - mediální a právní služby České exportní banky,0.25,,2016-11-14
364,zastupitelstvo hl. m. Prahy,Adam Zábranský,Jednání,Dlouhodobý úkol #652: Výbor pro sport a volný čas,1.5,c) účast na jednání výborů Zastupitelstva,2016-11-14
365,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Úkol #2307: Systematický přístup k pronajímání nemovitostí,0.75,,2016-11-14
366,zastupitelstvo hl. m. Prahy,Adam Zábranský,Příprava dokumentu,Úkol #4377: Prošetření sportovních grantů,1.75,,2016-11-14
367,zastupitelstvo hl. m. Prahy,Adam Zábranský,Jednání,Dlouhodobý úkol #182: Jednání klubu,1.75,,2016-11-14
368,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Dlouhodobý úkol #799: Výbor pro výchovu a vzdělávání,0.25,,2016-11-14
369,zastupitelstvo hl. m. Prahy,Adam Zábranský,Administrativa,Dlouhodobý úkol #914: Vykazování úkolů,0.5,,2016-11-14
396,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Naše žádost #2880: Žádost o informace - mediální a právní služby České exportní banky,0.25,,2016-11-13
397,zastupitelstvo hl. m. Prahy,Adam Zábranský,Příprava dokumentu,Dlouhodobý úkol #237: Spisová služba,0.6,,2016-11-13
398,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Dlouhodobý úkol #652: Výbor pro sport a volný čas,1.5,,2016-11-13
399,zastupitelstvo hl. m. Prahy,Adam Zábranský,Příprava dokumentu,Úkol #4377: Prošetření sportovních grantů,0.35,,2016-11-13
400,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Dlouhodobý úkol #184: Rada hl. m. Prahy (RHMP),2.1,,2016-11-13
429,zastupitelstvo hl. m. Prahy,Adam Zábranský,Mediální výstupy,Dlouhodobý úkol #165: Mediální výstupy,1.5,,2016-11-09
430,zastupitelstvo hl. m. Prahy,Adam Zábranský,Příprava dokumentu,Úkol #4377: Prošetření sportovních grantů,0.5,,2016-11-09
457,zastupitelstvo hl. m. Prahy,Adam Zábranský,Příprava dokumentu,Úkol #4377: Prošetření sportovních grantů,1.25,,2016-11-07
458,zastupitelstvo hl. m. Prahy,Adam Zábranský,Příprava dokumentu,Úkol #3590: Pirátská vize dopravního odbavení,1.5,,2016-11-07
459,zastupitelstvo hl. m. Prahy,Adam Zábranský,Příprava dokumentu,Úkol #4376: Úspěch ve sněmovních volbách 2017,0.25,,2016-11-07
460,zastupitelstvo hl. m. Prahy,Adam Zábranský,Jednání,Dlouhodobý úkol #4352: Jednání klubu 2016a,1.75,,2016-11-07
461,zastupitelstvo hl. m. Prahy,Adam Zábranský,Administrativa,Dlouhodobý úkol #4352: Jednání klubu 2016a,0.6,,2016-11-07
492,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Dlouhodobý úkol #184: Rada hl. m. Prahy (RHMP),0.7,,2016-11-05
499,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Dlouhodobý úkol #184: Rada hl. m. Prahy (RHMP),0.2,,2016-11-04
516,zastupitelstvo hl. m. Prahy,Adam Zábranský,Příprava dokumentu,"Dlouhodobý úkol #716: Výbor pro legislativu, veřejnou správu, protikorupční opatření a informatiku",0.75,,2016-11-03
535,zastupitelstvo hl. m. Prahy,Adam Zábranský,Příprava dokumentu,Úkol #4350: Příručka pro zastupitele (krajské a obecní),2.0,,2016-11-02
536,zastupitelstvo hl. m. Prahy,Adam Zábranský,Příprava dokumentu,Úkol #2307: Systematický přístup k pronajímání nemovitostí,0.6,,2016-11-02
537,zastupitelstvo hl. m. Prahy,Adam Zábranský,Studium podkladů,Úkol #2307: Systematický přístup k pronajímání nemovitostí,1.25,,2016-11-02
564,zastupitelstvo hl. m. Prahy,Adam Zábranský,Administrativa,Dlouhodobý úkol #914: Vykazování úkolů,0.75,,2016-11-01
